task_count,completed_tasks,pending_tasks,team_size,average_completion_time,resource_allocation,historical_delays,blocker_count,predicted_delay_days,risk_level
112,14,98,9,6.5,2.18,2.0,2,9.8,HIGH
189,49,140,22,12.5,1.27,0.1,1,2.6,MEDIUM
102,72,30,26,35.6,0.23,4.0,3,11.1,HIGH
24,13,11,12,16.2,0.18,0.2,0,0.0,LOW
116,19,97,7,25.7,2.77,3.0,2,14.2,HIGH
81,68,13,9,30.8,0.29,4.7,1,5.0,MEDIUM
198,80,118,11,43.2,2.15,0.4,2,14.1,HIGH
30,23,7,25,43.3,0.06,2.2,6,16.6,HIGH
112,85,27,4,37.3,1.35,4.5,0,7.9,HIGH
131,80,51,24,7.5,0.42,0.9,0,2.0,LOW
84,41,43,15,30.2,0.57,0.5,4,9.6,HIGH
97,90,7,24,39.0,0.06,1.2,1,5.9,MEDIUM
126,22,104,15,6.7,1.39,2.4,0,3.8,MEDIUM
109,76,33,11,29.1,0.6,2.6,2,8.2,HIGH
113,25,88,13,42.0,1.35,0.4,6,15.4,HIGH
161,57,104,7,25.9,2.97,1.8,2,16.6,HIGH
140,45,95,13,6.2,1.46,0.9,2,7.0,MEDIUM
159,143,16,24,6.5,0.13,5.5,2,6.2,MEDIUM
62,57,5,15,23.5,0.07,1.1,2,3.3,MEDIUM
11,2,9,3,12.5,0.6,5.5,3,7.8,HIGH
97,6,91,10,33.9,1.82,1.7,3,13.9,HIGH
167,116,51,11,35.8,0.93,3.9,1,8.5,HIGH
47,20,27,27,13.5,0.2,2.1,1,5.0,MEDIUM
139,18,121,18,43.3,1.34,2.9,0,7.6,HIGH
197,131,66,18,24.6,0.73,1.5,3,5.9,MEDIUM
30,16,14,4,12.0,0.7,4.4,3,7.6,HIGH
170,158,12,20,38.1,0.12,1.7,2,4.3,MEDIUM
67,17,50,2,39.2,5.0,1.8,2,30.0,HIGH
31,12,19,13,32.9,0.29,2.2,2,7.3,HIGH
98,52,46,8,41.8,1.15,5.3,3,13.9,HIGH
58,44,14,5,37.0,0.56,3.2,2,9.6,HIGH
68,36,32,11,43.1,0.58,1.3,3,11.9,HIGH
179,107,72,14,24.2,1.03,3.3,3,6.6,MEDIUM
197,49,148,3,37.4,9.87,3.1,2,45.0,HIGH
24,19,5,11,48.0,0.09,8.0,2,10.5,HIGH
199,86,113,22,36.4,1.03,5.5,3,12.0,HIGH
199,35,164,23,10.8,1.43,3.1,2,7.9,HIGH
184,119,65,26,27.8,0.5,1.3,2,6.8,MEDIUM
199,48,151,5,30.7,6.04,4.5,3,36.2,HIGH
60,8,52,19,13.3,0.55,2.6,4,6.8,MEDIUM
117,96,21,6,46.4,0.7,12.7,5,18.3,HIGH
64,29,35,20,13.4,0.35,0.9,4,7.2,HIGH
73,52,21,3,13.5,1.4,0.2,1,4.6,MEDIUM
140,43,97,13,44.4,1.49,0.2,2,10.3,HIGH
60,45,15,18,25.5,0.17,3.1,1,5.0,MEDIUM
144,21,123,11,8.7,2.24,8.4,5,17.2,HIGH
30,11,19,3,31.1,1.27,0.0,4,10.9,HIGH
82,76,6,7,31.3,0.17,3.9,0,4.8,MEDIUM
176,134,42,9,8.7,0.93,3.2,3,8.4,HIGH
27,13,14,20,46.8,0.14,4.0,4,12.5,HIGH
141,50,91,12,28.8,1.52,1.3,4,11.9,HIGH
98,81,17,26,29.5,0.13,5.2,1,5.4,MEDIUM
69,37,32,13,27.8,0.49,0.1,2,5.7,MEDIUM
23,16,7,10,31.7,0.14,4.2,3,8.5,HIGH
18,13,5,3,17.1,0.33,0.9,3,5.6,MEDIUM
99,6,93,9,18.1,2.07,1.9,2,11.0,HIGH
62,10,52,27,27.5,0.39,5.2,3,9.8,HIGH
139,89,50,12,39.9,0.83,0.9,5,12.2,HIGH
93,18,75,29,8.1,0.52,0.6,3,8.4,HIGH
101,28,73,22,31.3,0.66,3.4,5,12.5,HIGH
120,108,12,5,39.9,0.48,2.3,4,12.5,HIGH
197,109,88,11,12.6,1.6,2.2,0,3.5,MEDIUM
181,131,50,22,6.6,0.45,0.9,1,4.7,MEDIUM
17,9,8,21,19.1,0.08,0.1,4,7.7,HIGH
184,100,84,17,30.7,0.99,1.6,2,8.7,HIGH
44,5,39,9,11.8,0.87,0.3,0,1.9,LOW
90,32,58,5,23.9,2.32,7.1,5,17.5,HIGH
173,52,121,11,29.2,2.2,0.1,2,14.3,HIGH
59,23,36,13,31.2,0.55,1.7,2,8.4,HIGH
113,86,27,15,17.5,0.36,0.2,0,0.7,LOW
141,54,87,17,22.8,1.02,0.3,1,5.6,MEDIUM
11,5,6,23,38.7,0.05,3.2,1,4.8,MEDIUM
143,58,85,19,45.5,0.89,3.1,2,8.6,HIGH
63,8,55,22,42.2,0.5,0.1,3,9.9,HIGH
115,51,64,23,29.7,0.56,0.0,2,5.6,MEDIUM
13,2,11,22,23.2,0.1,0.2,5,8.8,HIGH
63,13,50,13,20.0,0.77,4.3,2,7.2,HIGH
155,20,135,19,11.2,1.42,2.6,2,6.0,MEDIUM
53,19,34,8,10.5,0.85,0.1,0,1.9,LOW
171,125,46,21,34.9,0.44,2.0,2,6.5,MEDIUM
199,59,140,25,16.9,1.12,3.7,0,5.4,MEDIUM
23,7,16,24,16.7,0.13,6.1,2,5.9,MEDIUM
104,65,39,8,47.9,0.98,8.2,2,14.1,HIGH
57,12,45,10,13.9,0.9,1.2,4,6.8,MEDIUM
24,20,4,2,12.2,0.4,0.4,3,6.6,MEDIUM
199,103,96,27,10.1,0.71,0.8,6,13.3,HIGH
49,22,27,7,30.4,0.77,4.5,5,13.8,HIGH
91,50,41,7,32.4,1.17,10.7,2,13.2,HIGH
120,23,97,23,21.3,0.84,1.9,0,3.2,MEDIUM
62,37,25,13,28.5,0.38,1.1,3,8.4,HIGH
33,12,21,23,39.1,0.18,1.7,4,12.9,HIGH
163,139,24,13,40.4,0.37,1.1,2,10.8,HIGH
197,39,158,11,46.2,2.87,0.9,2,19.0,HIGH
133,67,66,24,40.6,0.55,2.7,3,9.6,HIGH
50,29,21,27,29.7,0.16,0.0,2,6.4,MEDIUM
166,13,153,7,13.5,4.37,0.9,3,22.1,HIGH
24,9,15,18,10.2,0.17,3.2,3,5.7,MEDIUM
54,38,16,20,8.3,0.16,0.1,3,4.6,MEDIUM
74,58,16,19,34.0,0.17,0.3,3,10.4,HIGH
98,32,66,7,39.9,1.89,1.0,1,12.7,HIGH
80,61,19,25,27.4,0.15,6.3,3,10.8,HIGH
18,16,2,20,8.3,0.02,4.3,2,5.9,MEDIUM
97,79,18,11,28.5,0.33,0.1,3,6.4,MEDIUM
138,21,117,25,45.3,0.94,2.1,1,9.2,HIGH
145,103,42,9,31.1,0.93,1.0,2,10.2,HIGH
72,24,48,22,40.0,0.44,3.1,3,11.2,HIGH
148,139,9,25,39.6,0.07,3.8,2,9.7,HIGH
90,43,47,7,45.1,1.34,6.0,2,11.1,HIGH
145,23,122,22,38.3,1.11,1.9,3,12.3,HIGH
172,120,52,26,37.4,0.4,15.6,2,12.3,HIGH
172,58,114,8,15.8,2.85,11.7,3,19.7,HIGH
42,39,3,25,8.5,0.02,6.4,4,10.7,HIGH
132,122,10,2,27.7,1.0,2.6,2,8.7,HIGH
14,8,6,28,11.2,0.04,1.5,4,8.1,HIGH
50,8,42,19,46.4,0.44,1.4,2,9.1,HIGH
37,24,13,25,18.2,0.1,0.0,2,1.4,LOW
144,19,125,29,41.8,0.86,0.9,0,5.1,MEDIUM
81,6,75,26,22.3,0.58,3.8,1,6.2,MEDIUM
21,16,5,21,19.6,0.05,2.8,3,7.0,MEDIUM
171,40,131,13,45.3,2.02,7.4,3,20.2,HIGH
42,16,26,17,21.3,0.31,0.2,4,8.1,HIGH
57,52,5,11,22.4,0.09,0.5,5,8.3,HIGH
160,56,104,28,10.5,0.74,4.7,0,3.5,MEDIUM
71,22,49,11,34.2,0.89,1.3,3,11.2,HIGH
46,40,6,15,18.1,0.08,0.4,3,3.4,MEDIUM
108,16,92,26,30.6,0.71,16.9,4,17.4,HIGH
181,132,49,21,30.8,0.47,4.6,1,5.2,MEDIUM
113,106,7,11,36.2,0.13,1.6,4,10.6,HIGH
44,37,7,11,37.3,0.13,5.2,1,8.0,HIGH
110,70,40,27,27.6,0.3,3.4,2,7.6,HIGH
184,61,123,26,19.9,0.95,4.7,4,12.6,HIGH
140,39,101,12,41.2,1.68,5.1,4,16.8,HIGH
10,7,3,24,19.0,0.02,0.3,6,10.8,HIGH
14,11,3,3,27.3,0.2,2.9,4,10.4,HIGH
151,78,73,26,22.9,0.56,0.0,4,7.5,HIGH
112,30,82,21,41.9,0.78,0.1,0,5.5,MEDIUM
36,5,31,9,24.1,0.69,7.0,3,7.4,HIGH
146,18,128,24,22.2,1.07,2.2,2,7.9,HIGH
24,16,8,8,35.0,0.2,4.0,1,3.2,MEDIUM
99,42,57,9,31.3,1.27,5.5,2,11.6,HIGH
51,44,7,2,10.5,0.7,9.0,3,12.0,HIGH
133,95,38,22,27.3,0.35,6.1,2,8.7,HIGH
188,41,147,3,36.9,9.8,2.0,2,45.0,HIGH
72,43,29,19,47.7,0.31,1.2,1,9.0,HIGH
105,46,59,16,32.4,0.74,0.5,3,8.6,HIGH
61,34,27,2,21.6,2.7,1.5,2,12.8,HIGH
105,74,31,6,15.5,1.03,1.4,4,9.2,HIGH
141,109,32,3,42.7,2.13,2.5,1,12.4,HIGH
160,129,31,21,40.2,0.3,3.3,2,8.9,HIGH
152,42,110,4,15.8,5.5,11.5,1,30.9,HIGH
180,14,166,20,14.4,1.66,3.9,2,8.4,HIGH
38,27,11,19,36.0,0.12,3.1,2,6.8,MEDIUM
45,6,39,23,19.2,0.34,1.2,2,2.3,MEDIUM
22,7,15,19,18.9,0.16,0.1,3,5.4,MEDIUM
169,9,160,15,12.4,2.13,1.0,2,9.8,HIGH
80,53,27,25,17.1,0.22,4.4,2,5.2,MEDIUM
196,39,157,9,24.0,3.49,0.7,2,19.4,HIGH
95,60,35,13,36.8,0.54,3.7,5,16.2,HIGH
37,34,3,22,20.1,0.03,2.6,2,4.5,MEDIUM
75,8,67,11,19.8,1.22,0.6,1,5.6,MEDIUM
179,21,158,24,18.0,1.32,0.9,1,5.5,MEDIUM
54,19,35,21,26.1,0.33,2.1,2,7.7,HIGH
71,58,13,18,13.6,0.14,1.6,5,7.9,HIGH
194,47,147,12,26.4,2.45,4.5,4,17.0,HIGH
143,53,90,3,35.6,6.0,4.0,2,33.7,HIGH
37,4,33,27,7.3,0.24,2.6,4,5.3,MEDIUM
37,27,10,27,6.4,0.07,5.2,0,2.2,MEDIUM
117,48,69,5,9.2,2.76,2.5,6,19.3,HIGH
53,38,15,2,28.5,1.5,10.0,4,16.0,HIGH
93,80,13,16,41.9,0.16,0.7,4,8.1,HIGH
39,10,29,14,6.2,0.41,3.8,2,5.6,MEDIUM
199,154,45,9,45.3,1.0,1.4,1,8.5,HIGH
84,8,76,26,10.5,0.58,1.0,2,4.3,MEDIUM
137,117,20,5,41.4,0.8,0.6,1,8.6,HIGH
101,64,37,11,26.3,0.67,2.4,1,4.7,MEDIUM
199,166,33,20,33.7,0.33,0.7,1,5.6,MEDIUM
138,6,132,19,27.4,1.39,0.7,5,12.4,HIGH
130,26,104,6,26.0,3.47,14.0,2,26.0,HIGH
36,14,22,20,41.1,0.22,4.9,5,14.1,HIGH
199,77,122,27,37.7,0.9,4.1,5,15.7,HIGH
130,33,97,24,26.3,0.81,4.7,2,9.2,HIGH
125,49,76,28,10.7,0.54,10.4,5,14.8,HIGH
12,1,11,23,10.8,0.1,2.6,5,9.4,HIGH
112,47,65,17,39.7,0.76,0.7,2,7.2,HIGH
164,126,38,2,28.2,3.8,5.9,3,25.0,HIGH
146,70,76,13,26.2,1.17,4.1,2,9.3,HIGH
71,4,67,25,34.6,0.54,1.6,3,5.8,MEDIUM
174,74,100,3,42.1,6.67,1.9,5,41.2,HIGH
60,4,56,22,32.4,0.51,1.6,2,8.3,HIGH
181,166,15,26,38.0,0.12,8.0,5,16.5,HIGH
161,26,135,9,38.1,3.0,1.3,5,23.0,HIGH
68,46,22,19,21.0,0.23,9.9,3,11.0,HIGH
127,117,10,26,17.5,0.08,7.2,5,11.4,HIGH
169,134,35,17,39.6,0.41,3.0,2,8.9,HIGH
105,71,34,6,21.8,1.13,2.6,6,13.9,HIGH
189,152,37,27,43.9,0.27,1.4,4,11.9,HIGH
122,113,9,23,8.9,0.08,0.1,0,0.7,LOW
71,43,28,14,8.4,0.4,0.4,4,7.0,MEDIUM
195,107,88,20,44.9,0.88,4.2,2,12.7,HIGH
61,37,24,4,33.2,1.2,1.9,3,9.6,HIGH
21,11,10,27,21.9,0.07,0.5,2,6.5,MEDIUM
48,29,19,9,37.7,0.42,0.9,2,7.5,HIGH
139,63,76,28,34.2,0.54,8.9,2,10.7,HIGH
140,34,106,27,28.3,0.79,1.4,3,8.2,HIGH
122,19,103,27,10.2,0.76,7.1,2,8.2,HIGH
110,12,98,13,40.1,1.51,1.1,0,7.0,MEDIUM
122,35,87,3,42.4,5.8,2.4,6,39.9,HIGH
193,17,176,12,13.2,2.93,0.1,2,14.9,HIGH
90,50,40,13,41.7,0.62,2.2,0,7.5,HIGH
196,59,137,29,42.9,0.94,3.0,3,10.9,HIGH
122,96,26,19,29.1,0.27,0.8,1,5.5,MEDIUM
11,1,10,14,33.6,0.14,2.6,0,5.5,MEDIUM
139,35,104,6,22.1,3.47,3.1,2,16.9,HIGH
63,44,19,23,17.8,0.17,3.5,2,4.2,MEDIUM
96,56,40,13,36.3,0.62,4.5,2,10.9,HIGH
138,14,124,3,42.2,8.27,1.1,3,45.0,HIGH
156,130,26,6,33.5,0.87,2.5,3,12.4,HIGH
135,113,22,8,27.5,0.55,12.0,1,9.1,HIGH
139,48,91,27,12.7,0.67,6.9,3,8.4,HIGH
62,22,40,27,8.2,0.3,9.2,1,7.6,HIGH
181,170,11,25,24.7,0.09,1.5,3,5.9,MEDIUM
169,103,66,13,8.1,1.02,4.6,3,8.6,HIGH
169,89,80,17,29.9,0.94,2.9,5,14.0,HIGH
77,61,16,24,22.1,0.13,0.3,1,3.7,MEDIUM
192,58,134,9,37.8,2.98,5.2,5,23.5,HIGH
193,84,109,29,18.8,0.75,3.4,2,7.0,MEDIUM
132,38,94,10,30.9,1.88,0.7,1,9.1,HIGH
154,117,37,16,28.6,0.46,0.2,1,2.6,MEDIUM
47,26,21,6,6.2,0.7,5.4,3,8.0,HIGH
33,21,12,14,9.0,0.17,0.2,5,6.5,MEDIUM
78,21,57,6,18.2,1.9,0.3,1,6.7,MEDIUM
125,31,94,12,43.1,1.57,1.7,3,11.8,HIGH
107,52,55,11,12.2,1.0,0.4,4,9.7,HIGH
148,105,43,21,35.9,0.41,7.3,2,10.4,HIGH
153,79,74,14,46.9,1.06,1.9,1,11.2,HIGH
106,8,98,10,39.2,1.96,2.5,4,15.6,HIGH
133,110,23,22,16.2,0.21,7.9,3,8.6,HIGH
196,21,175,15,44.2,2.33,2.3,3,16.4,HIGH
79,71,8,19,9.9,0.08,1.3,2,3.2,MEDIUM
102,7,95,16,25.7,1.19,4.8,0,5.6,MEDIUM
12,8,4,11,43.3,0.07,1.8,3,12.1,HIGH
157,19,138,25,32.9,1.1,1.2,4,12.3,HIGH
196,170,26,8,23.4,0.65,3.9,4,10.4,HIGH
173,80,93,9,18.3,2.07,4.9,3,14.8,HIGH
156,27,129,29,21.8,0.89,4.7,5,13.6,HIGH
99,35,64,4,27.4,3.2,11.4,4,24.9,HIGH
156,30,126,16,19.4,1.58,4.6,0,6.9,MEDIUM
157,31,126,17,46.7,1.48,4.4,3,14.1,HIGH
105,94,11,5,45.2,0.44,5.8,1,12.9,HIGH
61,27,34,22,42.6,0.31,0.0,3,10.9,HIGH
170,129,41,7,23.7,1.17,1.4,2,7.1,HIGH
177,110,67,2,35.0,6.7,4.0,4,42.4,HIGH
137,90,47,5,43.9,1.88,2.7,1,12.9,HIGH
48,8,40,12,41.7,0.67,0.6,8,18.7,HIGH
91,23,68,13,23.4,1.05,1.1,1,6.1,MEDIUM
113,85,28,27,10.7,0.21,1.2,2,3.2,MEDIUM
138,127,11,6,9.2,0.37,2.5,4,7.7,HIGH
20,5,15,24,30.2,0.12,5.3,3,11.3,HIGH
194,57,137,22,33.0,1.25,8.1,5,16.8,HIGH
187,88,99,17,41.7,1.16,4.2,2,10.5,HIGH
160,149,11,14,18.3,0.16,5.6,3,7.6,HIGH
168,49,119,14,13.0,1.7,1.9,2,7.7,HIGH
51,21,30,18,21.9,0.33,1.5,4,9.7,HIGH
108,92,16,28,20.9,0.11,1.5,4,7.3,HIGH
16,0,16,8,11.6,0.4,2.9,2,5.3,MEDIUM
153,13,140,9,34.2,3.11,0.4,1,15.5,HIGH
99,58,41,14,27.4,0.59,2.6,2,9.9,HIGH
121,104,17,24,36.3,0.14,3.3,1,7.0,MEDIUM
69,18,51,28,20.8,0.36,1.7,7,14.1,HIGH
122,57,65,17,19.7,0.76,9.2,1,8.4,HIGH
11,5,6,5,25.8,0.24,2.8,3,7.5,HIGH
138,65,73,9,42.9,1.62,0.7,2,13.3,HIGH
57,34,23,17,7.7,0.27,2.0,1,2.9,MEDIUM
149,70,79,22,39.8,0.72,3.4,4,15.1,HIGH
46,20,26,11,21.5,0.47,1.2,5,10.0,HIGH
169,80,89,26,41.9,0.68,0.2,2,9.6,HIGH
18,10,8,13,39.7,0.12,2.6,4,11.5,HIGH
108,57,51,13,20.6,0.78,8.9,4,12.7,HIGH
156,127,29,27,35.1,0.21,2.0,3,7.0,MEDIUM
57,5,52,6,12.7,1.73,7.1,1,7.9,HIGH
140,111,29,17,43.6,0.34,5.4,3,13.7,HIGH
157,127,30,2,23.0,3.0,0.5,2,14.2,HIGH
161,49,112,29,25.1,0.77,3.7,2,8.9,HIGH
63,29,34,10,35.6,0.68,1.7,2,11.5,HIGH
129,57,72,13,40.5,1.11,0.9,3,12.0,HIGH
170,41,129,6,15.9,4.3,3.5,1,23.6,HIGH
161,65,96,23,33.8,0.83,4.1,1,8.6,HIGH
125,11,114,21,22.5,1.09,0.6,2,7.2,HIGH
84,25,59,23,21.5,0.51,7.4,4,11.8,HIGH
122,95,27,29,35.0,0.19,4.2,2,7.9,HIGH
173,52,121,25,22.3,0.97,8.1,4,12.5,HIGH
175,137,38,4,20.5,1.9,1.1,2,9.2,HIGH
113,59,54,6,41.1,1.8,8.4,1,14.2,HIGH
93,78,15,3,10.3,1.0,1.4,4,11.9,HIGH
121,68,53,15,34.4,0.71,0.2,3,10.9,HIGH
108,8,100,3,16.4,6.67,4.3,4,38.9,HIGH
162,106,56,14,6.7,0.8,3.6,1,5.6,MEDIUM
102,9,93,8,13.0,2.33,2.7,1,10.3,HIGH
155,70,85,11,31.5,1.55,2.0,3,13.3,HIGH
137,121,16,14,35.8,0.23,0.1,1,3.2,MEDIUM
119,23,96,17,6.9,1.13,2.9,6,15.6,HIGH
91,36,55,27,7.5,0.41,1.6,4,7.3,HIGH
63,44,19,15,43.9,0.25,2.5,1,6.9,MEDIUM
172,145,27,12,9.1,0.45,1.7,4,6.6,MEDIUM
198,129,69,11,43.6,1.25,10.1,0,11.2,HIGH
178,50,128,7,15.6,3.66,2.8,3,19.8,HIGH
170,111,59,5,37.1,2.36,4.1,2,17.3,HIGH
77,24,53,22,19.0,0.48,8.3,4,12.1,HIGH
42,29,13,2,42.1,1.3,2.7,2,10.3,HIGH
151,137,14,8,35.4,0.35,0.0,5,10.6,HIGH
30,20,10,25,22.9,0.08,0.1,0,0.5,LOW
